path,sizeBytes,sha256,extension,mime,lineCount,category,packageAction,reason
plugins/kh-aw/assets/logo.png,4739,f50997ae7f432d7a31dff8b72c54f7c59300b6d6ad3352fa4f9d2aff9ad6ed9a,.png,image/png,,image,review,"Image requires branding, rights, and usage review."
plugins/kh-aw/assets/screenshot-evidence.png,63412,432d02d635a2f8240eb4b217c93e1d16cec0e1f49b0caa56f628ba5016f15953,.png,image/png,,image,review,"Image requires branding, rights, and usage review."
plugins/kh-aw/assets/screenshot-repair.png,59904,2db55dfffd0c66e58199b4fe6c7c1684584848c70092f8d08039eff82b732ca6,.png,image/png,,image,review,"Image requires branding, rights, and usage review."
plugins/kh-aw/assets/screenshot-workflow.png,67020,cc27523b21b58a457963f933712b6b3d5537c6866580f76f902cf8f28633df35,.png,image/png,,image,review,"Image requires branding, rights, and usage review."
plugins/kh-aw/LICENSE,1066,4a62358edee56daf26a6dbdd7d9a66f578866994502eacb038b381d30778f3d4,,application/octet-stream,,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/package.json,1023,dc0e5d8efc6dc9a9c048471b186940189b6b4f194e946d89726f65838c49183a,.json,application/json,27,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/PACKAGE_MANIFEST.json,19554,6a05164a18764b2166a90d3a55d79b9fd4cf229e7f165d840d6b5df092200481,.json,application/json,481,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/PRIVACY.md,1124,14861d05fc2b319fb4caa01c3933b02a7aeec67038a78c1064ca81c92e4e3ea8,.md,text/markdown,9,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/README.md,1659,f941c340875023684c77cea5046ba75c070ea894be1b2e72159c5b9e6b7a23fa,.md,text/markdown,36,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/ARTIFACT_CONTRACTS.md,4003,48fc3cbd19d79edbd81f4a9a8f0d928f834ddac640c26c7753c00708a6df518d,.md,text/markdown,59,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/COMPANY_QUALITY.md,1553,3f23e8b125d75d0b16259b6a1ae452125babedbd302bc7c5146f7055f2a22421,.md,text/markdown,21,project-file,review,Accounted for in the complete inventory.
plugins/kh-aw/references/ENFORCEMENT_CONTRACT.md,14487,1ce9406717f9e8596abe74344366e697b1e66628232c28f6387b8f113d8b1637,.md,text/markdown,253,project-file,review,Accounted for in the complete inventory.
